Kumpulan Umur,Status,Jantina,Bangsa,Jenis Kawasan,Faktor Cuaca Hujan,Faktor Peningkatan Populasi,Faktor Pemandu Tidak Berdisiplin,Faktor Kerosakan Jalan,Faktor Pelajar Tidak Berkongsi Kenderaan,Faktor Bertolak Lewat ke Tempat Kerja,Faktor Jalan Sempit,Faktor Satu Pintu Masuk/Keluar,Faktor Kekurangan Jejambat Pejalan Kaki,Faktor Kekurangan Ruang Parkir,Faktor Ibu Bapa Lewat Hantar/Ambil Anak,Faktor Pembinaan / Kerja Jalan,Kesan Kemalangan Jalan Raya,Kesan Pembaziran Masa,Kesan Tekanan pada Pengguna Jalan,Kesan Pelajar Lewat ke Sekolah,Kesan Pencemaran Alam Sekitar,Kesan Pembaziran Bahan Api,Langkah Jejambat Pejalan Kaki,Langkah Melebarkan Jalan,Langkah Berkongsi Kenderaan,Langkah Dua Pintu Masuk/Keluar,Langkah Tiba Awal ke Sekolah,Langkah Menempatkan Pegawai Trafik,Langkah Kawasan Khas Hantar/Tunggu Anak
18 – 25 tahun,Penduduk / Pengguna Jalan,Perempuan,Melayu,Kawasan bandar,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Atas 55 tahun,Penduduk / Pengguna Jalan,Perempuan,Melayu,Kawasan pinggir bandar,5,4,5,4,2,3,5,5,2,4,4,3,4,4,5,5,5,4,4,4,3,5,5,5,5
18 – 25 tahun,Pelajar Universiti,Lelaki,Melayu,Kawasan luar bandar,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
18 – 25 tahun,Pelajar Universiti,Perempuan,Melayu,Kawasan luar bandar,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
18 – 25 tahun,Pelajar Universiti,Perempuan,Melayu,Kawasan bandar,5,5,4,5,5,4,5,5,4,5,2,5,5,5,5,5,5,5,5,4,5,5,5,5,5
26 – 35 tahun,Ibubapa,Perempuan,Melayu,Kawasan luar bandar,5,4,5,5,1,1,5,4,5,5,4,5,5,5,5,5,5,5,5,5,1,5,5,5,5
26 – 35 tahun,Penduduk / Pengguna Jalan,Perempuan,Melayu,Kawasan bandar,5,5,5,5,1,5,5,1,5,5,3,1,5,5,5,5,5,5,5,5,2,5,5,5,5
18 – 25 tahun,Penduduk / Pengguna Jalan,Perempuan,Melayu,Kawasan luar bandar,5,5,5,5,1,5,5,1,5,5,1,5,5,5,5,5,5,5,5,5,1,5,5,5,5
26 – 35 tahun,Penduduk / Pengguna Jalan,Lelaki,Melayu,Kawasan bandar,4,4,4,4,2,3,3,2,3,5,3,4,3,4,4,4,3,3,5,5,4,5,5,5,5
26 – 35 tahun,Ibubapa,Lelaki,Melayu,Kawasan bandar,5,3,5,5,3,3,5,3,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5
18 – 25 tahun,Pelajar Universiti,Perempuan,Melayu,Kawasan bandar,5,5,5,5,3,1,3,5,5,5,3,5,5,5,5,5,5,3,5,5,3,5,5,5,5
18 – 25 tahun,Pelajar Universiti,Perempuan,Melayu,Kawasan luar bandar,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
18 – 25 tahun,Pelajar Universiti,Perempuan,Melayu,Kawasan bandar,5,4,5,5,2,5,5,4,5,5,3,5,5,4,5,4,5,3,5,4,2,5,5,5,5
46 – 55 tahun,Penduduk / Pengguna Jalan,Perempuan,Melayu,Kawasan bandar,3,5,2,5,2,3,5,3,2,5,2,5,5,5,5,5,5,5,3,5,3,4,4,4,3
18 – 25 tahun,Pelajar Universiti,Perempuan,Melayu,Kawasan bandar,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
18 – 25 tahun,Pelajar Universiti,Perempuan,Melayu,Kawasan bandar,5,4,5,5,3,4,5,1,5,4,4,4,5,5,5,5,5,5,5,5,4,5,5,5,5
18 – 25 tahun,Pelajar Universiti,Perempuan,Melayu,Kawasan bandar,5,5,5,5,5,5,5,3,3,5,5,5,4,5,5,4,4,5,3,5,5,3,4,5,5
18 – 25 tahun,Guru,Perempuan,Melayu,Kawasan bandar,4,4,3,4,3,4,3,1,4,4,4,3,2,4,4,4,4,4,4,4,4,4,4,4,4
18 – 25 tahun,Pelajar Universiti,Lelaki,Melayu,Kawasan bandar,4,4,4,4,2,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4
18 – 25 tahun,Pelajar Universiti,Perempuan,Melayu,Kawasan luar bandar,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,4,5,5,5,5,5,4,5
18 – 25 tahun,Pelajar Universiti,Perempuan,Melayu,Kawasan bandar,4,2,5,5,3,3,5,1,5,5,3,5,5,5,5,5,5,5,4,5,3,5,4,5,5
18 – 25 tahun,Pelajar Universiti,Perempuan,Melayu,Kawasan luar bandar,4,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
18 – 25 tahun,Penduduk / Pengguna Jalan,Perempuan,Melayu,Kawasan luar bandar,3,4,3,5,2,2,4,4,5,4,1,4,2,5,5,4,3,4,5,4,4,5,5,5,5
18 – 25 tahun,Penduduk / Pengguna Jalan,Perempuan,Melayu,Kawasan bandar,5,4,3,4,2,3,5,4,3,4,3,3,2,4,3,4,3,3,3,5,3,4,5,4,5
26 – 35 tahun,Penduduk / Pengguna Jalan,Perempuan,Melayu,Kawasan bandar,3,3,4,5,1,2,2,4,3,3,2,4,4,4,4,4,3,3,4,4,2,4,4,4,4
18 – 25 tahun,Pelajar Universiti,Perempuan,Melayu,Kawasan luar bandar,2,5,4,5,4,1,5,2,2,5,1,4,4,5,4,5,5,4,5,5,5,5,5,5,5
18 – 25 tahun,Guru,Perempuan,Melayu,Kawasan bandar,3,3,5,1,1,4,1,1,1,1,2,5,5,5,5,5,5,1,5,5,5,5,5,5,5
18 – 25 tahun,Pelajar Universiti,Lelaki,Melayu,Kawasan luar bandar,4,4,4,4,4,4,4,4,4,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4
18 – 25 tahun,Penduduk / Pengguna Jalan,Perempuan,Melayu,Kawasan bandar,4,4,3,5,4,4,5,5,3,5,4,4,3,4,5,5,5,1,5,5,5,5,5,5,5
36 – 45 tahun,Ibubapa,Perempuan,Melayu,Kawasan bandar,4,5,5,5,1,1,5,3,4,5,3,5,2,5,5,5,5,5,4,4,4,5,5,5,5
18 – 25 tahun,Pelajar Universiti,Perempuan,Melayu,Kawasan luar bandar,3,2,4,4,1,2,3,4,4,4,3,4,3,4,4,4,4,4,4,3,2,3,3,4,4
18 – 25 tahun,Penduduk / Pengguna Jalan,Perempuan,Melayu,Kawasan luar bandar,5,5,5,5,3,5,5,5,5,5,2,5,4,4,5,4,4,4,5,5,5,5,5,5,5
18 – 25 tahun,Pelajar ( Rendah / Menengah),Perempuan,Melayu,Kawasan bandar,4,5,5,4,3,3,5,5,5,4,4,5,5,5,5,5,5,5,4,4,3,4,3,4,4
18 – 25 tahun,Pelajar Universiti,Perempuan,Melayu,Kawasan luar bandar,4,5,4,5,3,5,4,5,3,4,4,4,4,4,5,5,4,4,5,5,4,5,3,4,5
Atas 55 tahun,Ibubapa,Lelaki,Melayu,Kawasan pinggir bandar,4,4,4,4,2,2,4,4,4,4,1,4,4,4,4,4,4,4,4,4,1,4,4,4,4
36 – 45 tahun,Ibubapa,Lelaki,Melayu,Kawasan bandar,4,3,5,5,2,3,3,3,3,5,3,5,4,4,4,4,4,4,4,3,3,4,3,4,4
18 – 25 tahun,Pelajar Universiti,Perempuan,Melayu,Kawasan bandar,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
18 – 25 tahun,Pelajar Universiti,Perempuan,Melayu,Kawasan luar bandar,5,4,5,3,3,4,3,3,4,5,3,4,4,5,5,5,3,4,5,5,3,4,4,5,5
18 – 25 tahun,Penduduk / Pengguna Jalan,Perempuan,Melayu,Kawasan bandar,4,5,5,5,3,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
18 – 25 tahun,Pelajar Universiti,Lelaki,Melayu,Kawasan bandar,5,4,5,4,3,4,4,5,4,5,5,3,3,4,4,4,3,4,4,4,4,4,5,5,5
18 – 25 tahun,Pelajar Universiti,Perempuan,Melayu,Kawasan bandar,3,5,5,5,5,5,5,3,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5
18 – 25 tahun,Pelajar Universiti,Perempuan,Melayu,Kawasan luar bandar,5,5,5,5,4,3,5,5,4,5,3,5,5,5,5,5,5,4,4,4,5,5,5,5,5
Bawah 18 tahun,Pelajar ( Rendah / Menengah),Perempuan,Melayu,Kawasan bandar,5,4,5,4,4,4,4,5,5,4,4,5,5,5,5,5,5,5,4,4,4,4,4,4,4
36 – 45 tahun,Penduduk / Pengguna Jalan,Perempuan,Melayu,Kawasan pinggir bandar,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,4,3,3,4,3,4,4,3
26 – 35 tahun,Pelajar Universiti,Perempuan,Lain-lain,Kawasan luar bandar,3,5,4,4,4,5,4,4,1,5,4,4,3,5,5,4,3,4,4,5,3,5,4,5,5
18 – 25 tahun,Pelajar Universiti,Lelaki,Melayu,Kawasan luar bandar,5,3,4,4,3,1,4,3,5,5,4,4,4,5,5,3,5,5,4,4,2,3,2,4,4
18 – 25 tahun,Pelajar Universiti,Lelaki,Melayu,Kawasan bandar,2,3,2,3,3,1,3,4,3,4,1,3,2,4,4,3,4,3,3,2,3,3,3,3,3
36 – 45 tahun,Ibubapa,Perempuan,Melayu,Kawasan bandar,1,1,2,2,4,4,1,2,2,2,2,2,1,2,2,1,2,2,3,3,4,3,2,1,2
18 – 25 tahun,Pelajar Universiti,Lelaki,Melayu,Kawasan bandar,4,4,4,2,4,5,3,4,4,5,4,5,3,5,5,5,4,4,4,5,4,4,5,4,5
18 – 25 tahun,Pelajar Universiti,Lelaki,Melayu,Kawasan bandar,5,4,4,3,4,5,5,4,4,5,5,5,4,5,5,5,5,3,4,5,4,5,5,3,5
18 – 25 tahun,Pelajar Universiti,Lelaki,Melayu,Kawasan luar bandar,5,3,3,5,3,5,5,4,4,5,5,5,4,5,5,5,5,3,4,5,3,5,5,5,5
Bawah 18 tahun,Pelajar ( Rendah / Menengah),Perempuan,Melayu,Kawasan luar bandar,5,2,4,4,2,4,5,2,3,2,4,3,3,5,5,5,4,4,3,4,2,4,5,4,3
18 – 25 tahun,Pelajar Universiti,Lelaki,Melayu,Kawasan bandar,4,5,5,5,4,5,4,4,4,5,5,5,5,4,5,4,5,4,5,5,4,4,5,3,5
18 – 25 tahun,Pelajar ( Rendah / Menengah),Lelaki,Melayu,Kawasan luar bandar,1,5,5,1,1,5,5,1,5,5,5,1,5,5,1,5,1,1,5,1,1,1,1,5,1
26 – 35 tahun,Penduduk / Pengguna Jalan,Lelaki,Melayu,Kawasan luar bandar,4,5,2,2,2,3,4,2,3,4,3,4,4,5,5,5,5,4,5,5,5,5,5,5,5
18 – 25 tahun,Pelajar ( Rendah / Menengah),Perempuan,Melayu,Kawasan bandar,2,3,1,5,1,2,3,1,5,3,1,1,1,5,5,5,5,1,5,4,4,5,5,4,5
18 – 25 tahun,Pelajar Universiti,Lelaki,Melayu,Kawasan luar bandar,4,4,4,5,3,3,4,4,4,5,4,5,4,5,4,5,4,3,4,5,4,4,4,4,4
26 – 35 tahun,Ibubapa,Perempuan,Melayu,Kawasan luar bandar,5,5,4,5,3,4,5,3,4,5,1,4,4,2,4,5,3,3,5,5,3,5,4,4,5
46 – 55 tahun,Ibubapa,Perempuan,Melayu,Kawasan luar bandar,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Bawah 18 tahun,Pelajar ( Rendah / Menengah),Lelaki,Melayu,Kawasan luar bandar,5,3,2,4,2,3,5,4,3,3,5,2,5,5,4,4,4,5,3,3,5,3,5,5,5
18 – 25 tahun,Pelajar Universiti,Perempuan,Melayu,Kawasan bandar,5,5,5,4,5,5,4,5,5,5,3,5,3,4,5,4,5,4,5,5,5,5,5,5,5
18 – 25 tahun,Penduduk / Pengguna Jalan,Perempuan,Melayu,Kawasan pinggir bandar,5,3,3,3,5,3,5,1,5,3,5,5,5,4,5,5,2,1,5,4,5,5,5,5,5
18 – 25 tahun,Pelajar ( Rendah / Menengah),Perempuan,Melayu,Kawasan bandar,2,2,1,1,3,3,1,1,2,1,1,2,2,1,3,2,3,2,1,3,3,2,2,2,1
18 – 25 tahun,Pelajar Universiti,Perempuan,Melayu,Kawasan luar bandar,4,5,5,4,4,5,4,4,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,4
18 – 25 tahun,Pelajar Universiti,Lelaki,Melayu,Kawasan luar bandar,4,5,5,5,5,4,4,5,5,5,4,5,4,5,5,5,4,4,5,4,4,4,5,5,5
18 – 25 tahun,Penduduk / Pengguna Jalan,Lelaki,Melayu,Kawasan bandar,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
18 – 25 tahun,Pelajar Universiti,Perempuan,Melayu,Kawasan pinggir bandar,3,2,4,4,2,5,3,4,5,5,2,5,5,5,5,5,5,5,5,5,3,5,5,5,5
26 – 35 tahun,Penduduk / Pengguna Jalan,Perempuan,Melayu,Kawasan bandar,5,4,5,5,1,1,5,5,5,2,1,5,4,5,5,3,3,2,5,5,2,5,4,5,4
18 – 25 tahun,Penduduk / Pengguna Jalan,Perempuan,Melayu,Kawasan bandar,4,4,3,5,4,3,5,1,5,5,2,5,5,5,5,5,5,5,5,5,4,5,3,4,5
Bawah 18 tahun,Pelajar ( Rendah / Menengah),Lelaki,Melayu,Kawasan bandar,5,5,5,5,1,1,5,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
26 – 35 tahun,Penduduk / Pengguna Jalan,Perempuan,Melayu,Kawasan bandar,5,2,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5
18 – 25 tahun,Pelajar Universiti,Perempuan,Melayu,Kawasan bandar,5,5,5,5,2,5,5,5,4,3,5,5,5,5,5,5,5,5,3,5,5,2,5,5,5
18 – 25 tahun,Pelajar Universiti,Lelaki,Melayu,Kawasan bandar,5,3,5,5,3,3,5,3,5,5,3,4,5,5,5,5,4,3,5,4,4,5,5,5,5
